eventid,id,ccode,countryname,startdate,enddate,duration,stday,stmo,styr,eday,emo,eyr,etype,escalation,actor1,actor2,actor3,target1,target2,cgovtarget,rgovtarget,npart,ndeath,repress,elocal,ilocal,sublocal,locnum,gislocnum,issue1,issue2,issue3,issuenote,nsource,notes,coder,acd_questionable,latitude,longitude,geo_comments,location_precision
4040012,12,404,Guinea-Bissau,3-Jan-01,7-Jan-01,5,3,1,2001,7,1,2001,9,8,faction of separatist Casamance movement,,,rival faction of separatist Casmance movement,Guinea-Bissau military,1,0,-99,30,0,Border with Senegal,Border with Senegal,1,6,6,5,8,9,Rival factions of the separatist Casamance movement of Senegal fight inside the border of Guinea-Bissau.  Rebel factions accuse Guinea- Bissau military of supporting rivals.,0,,CC,0,12.6584,-14.6201,,no
4040013,13,404,Guinea-Bissau,5-Feb-01,12-Feb-01,8,5,2,2001,12,2,2001,6,0,teachers,,,central government,,1,0,-99,0,0,unknown,unknown,1,-99,-99,2,,,Teachers strike over unpaid wages.,0,,CC,0,12.19222,-14.76013,,
4040014,14,404,Guinea-Bissau,12-Feb-01,12-Feb-01,1,12,2,2001,12,2,2001,3,0,students,,,central government,,1,0,-99,0,1,Bissau,Bissau,1,1,1,2,,,Students march in support of teacher's strike over unpaid wages.,0,,CC,0,11.8667,-15.6,,
4040015,15,404,Guinea-Bissau,26-Feb-01,28-Feb-01,3,26,2,2001,28,2,2001,6,0,union members,,,central government,,1,0,-99,0,0,unknown,unknown,1,-99,-99,2,,,General strike in a bid to get higher wages.,1,"Start and end dates are estimates, event occurred at the end of February.",CC,0,12.19222,-14.76013,,
4040016,16,404,Guinea-Bissau,5-Mar-01,5-Mar-01,1,5,3,2001,5,3,2001,9,0,Ninja soldiers,,,army headquarters,central government,1,0,-99,0,1,South of Bissau,South of Bissau,1,6,6,2,,,"Soldiers attack the army's headquarters due to grievances over promotions, administration and wages.",0,,CC,0,11.7536,-15.8055,,no
4040017,17,404,Guinea-Bissau,19-Mar-01,19-Mar-01,1,19,3,2001,19,3,2001,6,0,National Workers' Union members,,,central government,,1,0,-99,0,0,unknown,unknown,1,-99,-99,2,,,National Workers' Union launch strike to demand four months of back pay.,0,,CC,0,12.19222,-14.76013,,
4040018,18,404,Guinea-Bissau,25-Sep-01,25-Oct-01,31,25,9,2001,25,10,2001,6,0,judges,,,central government,,1,0,-99,0,0,nationwide,nationwide,1,7,7,10,,,Judges strike to protest interference by Pres. Yala in judicial affairs.,1,,CC,0,12.0758,-14.6407,,
4040019,19,404,Guinea-Bissau,9-Nov-01,9-Nov-01,1,9,11,2001,9,11,2001,1,0,civil rights groups,workers rights groups,,central government,,1,0,4,0,0,unknown,unknown,1,-99,-99,10,,,Workers and civil rights group rally to protest Pres. Yala's treatment of the judiciary and non-democratic actions.,0,,CC,0,12.19222,-14.76013,,
4040020,20,404,Guinea-Bissau,21-Nov-01,21-Nov-01,1,21,11,2001,21,11,2001,1,0,opposition members,,,central government,,1,0,5,0,0,Bissau,Bissau,1,1,1,10,,,Opposition groups rally to demand Pres. Yala step down.,0,,CC,0,11.8667,-15.6,,
4040021,21,404,Guinea-Bissau,8-Jan-02,18-Jan-02,11,8,1,2002,18,1,2002,6,0,teachers,,,central government,,1,0,-99,0,0,nationwide,nationwide,1,7,7,2,,,Teachers strike demanding past wages and higher salaries.,0,,CC,0,12.0758,-14.6407,,
4040022,22,404,Guinea-Bissau,24-Feb-03,25-Feb-03,2,24,2,2003,25,2,2003,6,0,civil servants,,,central government,,1,0,-99,0,0,nationwide,nationwide,1,7,7,2,,,Civil servants strike thoughout the country to demand as much as 12 months worth of back pay.,1,,CC,0,12.0758,-14.6407,,
4040023,23,404,Guinea-Bissau,12-May-03,17-May-03,6,12,5,2003,17,5,2003,6,0,state employees,,,central government,,1,0,-99,0,0,nationwide,nationwide,1,7,7,2,,,State employees strike demanding back wages.,0,,CC,0,12.0758,-14.6407,,
4040024,24,404,Guinea-Bissau,1-Sep-03,5-Sep-03,5,1,9,2003,5,9,2003,6,0,state employees,,,central government,,1,0,-99,0,0,nationwide,nationwide,1,7,7,2,,,State employees strike demanding back wages.,1,,CC,0,12.0758,-14.6407,,
4040025,25,404,Guinea-Bissau,17-Sep-03,17-Sep-03,1,17,9,2003,17,9,2003,2,0,coup supporters,,,former Pres. Yala,,0,0,4,0,0,Bissau,Bissau,1,1,1,10,,,"Demonstrators show support for military coup, claiming the military is the sole protector of democracy.",1,,CC,0,11.8667,-15.6,,
4040026,26,404,Guinea-Bissau,10-Nov-03,24-Nov-03,15,10,11,2003,24,11,2003,6,0,utility workers,,,central government,,1,0,-99,0,0,"Bissau, Gabu and Bafata",Bissau,1,4,4,2,,,Utility workers strike demanding past due salary of one year and bonuses.,1,,CC,0,11.8667,-15.6,,
4040026,26,404,Guinea-Bissau,10-Nov-03,24-Nov-03,15,10,11,2003,24,11,2003,6,0,utility workers,,,central government,,1,0,-99,0,0,"Bissau, Gabu and Bafata",Gabu,2,4,4,2,,,Utility workers strike demanding past due salary of one year and bonuses.,1,,CC,0,11.8962,-14.1001,,
4040026,26,404,Guinea-Bissau,10-Nov-03,24-Nov-03,15,10,11,2003,24,11,2003,6,0,utility workers,,,central government,,1,0,-99,0,0,"Bissau, Gabu and Bafata",Bafata,3,4,4,2,,,Utility workers strike demanding past due salary of one year and bonuses.,1,,CC,0,12.1719,-14.6575,,
4040027,27,404,Guinea-Bissau,4-Mar-04,4-Mar-04,1,4,3,2004,4,3,2004,1,4,students,,,central government,,1,0,4,1,1,Bissau,Bissau,1,1,1,7,2,,Students strike over central government's indifference toward potential third year of closed schools due to teachers strikes.,0,,CC,0,11.8667,-15.6,,
4040028,28,404,Guinea-Bissau,6-Oct-04,6-Oct-04,1,6,10,2004,6,10,2004,10,0,military,,,central government,,1,0,3,2,0,Bissau,Bissau,1,1,1,2,,,Military troops opened fire on military headquarters demanding pay for serving in Liberia.,1,,CC,0,11.8667,-15.6,,
4040029,29,404,Guinea-Bissau,6-Dec-04,10-Dec-04,5,6,12,2004,10,12,2004,6,0,teachers,health workers,,central government,,1,0,4,0,0,nationwide,nationwide,1,7,7,2,,,Teachers and health workers strike demanding back wages.,1,,CC,0,12.0758,-14.6407,,
4040030,30,404,Guinea-Bissau,7-Apr-05,7-Apr-05,1,7,4,2005,7,4,2005,2,0,Vieira supporters,,,none,,0,0,4,0,0,Bissau,Bissau,1,1,1,13,,,Supporters cheer the return of exiled former Pres. Vieira.,1,,CC,0,11.8667,-15.6,,
4040031,31,404,Guinea-Bissau,17-May-05,17-May-05,1,17,5,2005,17,5,2005,1,0,Yala supporters,,,Yala rivals,,0,0,3,0,1,Northern Bissau,Northern Bissau,1,6,6,13,,,Supporters of former Pres. Yala demonstrate demanded his return as head of state.,1,,CC,0,11.8667,-15.6,keyed to the capital,no
4040032,32,404,Guinea-Bissau,17-May-05,17-May-05,1,17,5,2005,17,5,2005,1,0,students,teachers,,former Pres. Yala,,0,0,4,0,0,Bissau and four other cities,Bissau,1,4,4,10,,,Students and teachers demonstrate against former Pres. Yala's declaration that he was removed from office illegally and still remains the President,1,,CC,0,11.8667,-15.6,,
4040033,33,404,Guinea-Bissau,25-May-05,25-May-05,1,25,5,2005,25,5,2005,4,0,Yala protesters,,,former Pres. Yala,,0,0,3,0,0,Bissau,Bissau,1,1,1,10,,,Protesters gather outside home of the president and headquarters of the Social Renewal Party to protest former Pres. Yala's occupation of the presidential home.,1,,CC,0,11.8667,-15.6,,
4040034,34,404,Guinea-Bissau,24-Jun-05,24-Jun-05,1,24,6,2005,24,6,2005,1,4,Yala supporters,,,police,,0,1,3,3,2,Bissau,Bissau,1,1,1,1,,,"Former Pres. Yala supporters protest the outcome of the first round of the presidential election, in which Yala did not receive enough votes to be a contender in the second round.",1,,CC,0,11.8667,-15.6,,
4040035,35,404,Guinea-Bissau,16-Jul-05,16-Jul-05,1,16,7,2005,16,7,2005,4,0,armed men,,,government buildings,military facilities,1,0,-99,2,0,Bissau and surrounding areas,Bissau,1,6,6,14,,,Government and military buildings attacked by armed men.  Cause of attack remains unknown but is speculated to be related to election outcomes or the arrest of a former minister.,1,,CC,0,11.8667,-15.6,,no
4040036,36,404,Guinea-Bissau,28-Jul-05,28-Jul-05,1,28,7,2005,28,7,2005,4,0,Vieira supporters,,,Sanha supporters,,0,0,4,0,1,Bissau,Bissau,1,1,1,1,,,Supporters for both presidential candidates took to the streets after election results announced Vieira as the President elect.,1,,CC,0,11.8667,-15.6,,
4040037,37,404,Guinea-Bissau,3-Nov-05,3-Nov-05,1,3,11,2005,3,11,2005,4,0,youth,,,central government,,1,0,-99,0,0,Bissau,Bissau,1,1,1,10,,,Youths demonstrate against the dissolution of the government and appointment of a new prime minister.,0,,CC,0,11.8667,-15.6,,
4040038,38,404,Guinea-Bissau,2-Feb-06,12-Feb-06,11,2,2,2006,12,2,2006,6,0,teachers,,,central government,,1,0,-99,0,0,nationwide,nationwide,1,7,7,2,,,Teachers strike demanding past wages and better living conditions.,1,,CC,0,12.0758,-14.6407,,
4040039,39,404,Guinea-Bissau,7-Feb-06,10-Feb-06,4,7,2,2006,10,2,2006,6,0,public workers,health workers,,central government,,1,0,-99,0,0,nationwide,nationwide,1,7,7,2,,,Public workers strike demanding back wages and better working conditions.,0,,CC,0,12.0758,-14.6407,,
4040040,40,404,Guinea-Bissau,20-Jun-06,23-Jun-06,4,20,6,2006,23,6,2006,6,0,civil servants,,,central government,,1,0,-99,0,0,nationwide,nationwide,1,7,7,2,,,Civil servants strike thoughout the country to demand as much as 12 months worth of back pay.,1,,CC,0,12.0758,-14.6407,,
4040041,41,404,Guinea-Bissau,17-Oct-06,17-Oct-06,1,17,10,2006,17,10,2006,6,0,nurses,,,central government,,1,0,-99,0,0,nationwide,nationwide,1,7,7,2,,,Nurses strike demanding promised bonuses and raises,1,,CC,0,12.0758,-14.6407,,
4040042,42,404,Guinea-Bissau,5-Dec-06,9-Dec-06,5,5,12,2006,9,12,2006,6,0,industrial workers,,,central government,,1,0,-99,0,0,nationwide,nationwide,1,7,7,2,,,Industrial workers strike demanding payment of owed salaries.,0,,CC,0,12.0758,-14.6407,,
4040043,43,404,Guinea-Bissau,13-Dec-06,13-Dec-06,1,13,12,2006,13,12,2006,6,0,government workers,,,central government,,1,0,-99,0,0,nationwide,nationwide,1,7,7,2,,,Government workers strike demanding 13 months of salary arrears.,0,,CC,0,12.0758,-14.6407,,
4040044,44,404,Guinea-Bissau,6-Jan-07,6-Jan-07,1,6,1,2007,6,1,2007,4,0,protesters,,,central government,,1,0,3,2,2,Bissau,Bissau,1,1,1,10,,,Protesters demonstrate against the killing of Mohamed Lamine Sanha who was accused of plotting a coup.,1,,CC,0,11.8667,-15.6,,
4040045,45,404,Guinea-Bissau,8-Jan-08,18-Jan-08,11,8,1,2008,18,1,2008,6,0,teachers,,,central government,,1,0,-99,0,0,nationwide,nationwide,1,7,7,2,,,Teachers strike over unpaid wages.,0,,CC,0,12.0758,-14.6407,,
4040046,46,404,Guinea-Bissau,15-Jan-09,15-Jan-09,1,15,1,2009,15,1,2009,10,0,Presidential militia,,,Military chief of staff Batiste Tagme na Waie,,1,0,-99,0,0,Bissau,Bissau,1,1,1,12,,,Presidential militia open fire on a car containing the chief of the military.  The cause is an ongoing political struggle arising from control of the cocaine trade.,1,,CL,0,11.8667,-15.6,,
4040047,47,404,Guinea-Bissau,1-Mar-09,2-Mar-09,2,1,3,2009,2,3,2009,10,0,Military chief of staff Batiste Tagme na Waie,,,President Joao Bernardo Vieira,,1,0,-99,2,0,Bissau,Bissau,1,1,1,12,,,A bomb explodes and kills the chief of the military.  The military retaliates the next day by killing the president.  The cause is an ongoing struggle between the chief of staff and the president over control of cocaine trade.,1,,CL,0,11.8667,-15.6,,
4040048,48,404,Guinea-Bissau,1-Apr-09,1-Apr-09,1,1,4,2009,1,4,2009,7,0,Military forces,,,Former prime minister Jose Fadul,Simao Mendez,0,0,-99,0,0,Bissau,Bissau,1,1,1,14,,,Soldiers beat up the former prime minister and a well known lawyer.,1,,CL,0,11.8667,-15.6,,
4040049,49,404,Guinea-Bissau,5-Jun-09,5-Jun-09,1,5,6,2009,5,6,2009,7,0,Military forces,,,Political opponents,,0,0,-99,4,0,Bissau,Bissau,1,1,1,12,,,"The government accuses several ministers and presidential candidates of fostering a coup.  The military cracks down, killing 4, including a presidential candidate.",1,,CL,0,11.8667,-15.6,,
4040050,50,404,Guinea-Bissau,1-Apr-10,1-Apr-10,1,1,4,2010,1,4,2010,2,0,Citizens,,,Government,,1,0,3,0,0,Bissau,Bissau,1,1,1,10,,,Citizens demand the military release the Prime Minister.,1,,ES,0,11.8667,-15.6,,
4040051,51,404,Guinea-Bissau,2-Apr-10,2-Apr-10,1,2,4,2010,2,4,2010,10,0,Soldiers,,,Prime Minister,,1,0,-99,0,0,Bissau,Bissau,1,1,1,10,,,Soldiers arrest the army chief and the Prime Minister in a coup.,0,,ES,0,11.8667,-15.6,,
4040052,52,404,Guinea-Bissau,11-May-11,11-May-11,1,11,5,2011,11,5,2011,1,0,Guinean Consumer Association,,,Government,,1,0,2,0,0,Bissau,Bissau,1,1,1,3,,,A consumer group protests against the high cost of food.,1,,CL,0,11.8667,-15.6,,
4040053,53,404,Guinea-Bissau,13-Jul-11,18-Jul-11,6,13,7,2011,18,7,2011,6,0,Health workers,,,Government,,1,0,-99,0,0,Bissau,Bissau,1,1,1,2,,,Health workers strike to demand back pay from the government.,0,,CL,0,11.8667,-15.6,,
4040054,54,404,Guinea-Bissau,14-Jul-11,14-Jul-11,1,14,7,2011,14,7,2011,1,0,Opposition parties,,,Government,,1,0,4,0,0,Bissau,Bissau,1,1,1,3,10,,"Seven opposition parties march to protest rising food prices and to demand that PM Carlos Gomes Junior resign, accusing him of failing to shed light of the 2009 assassination of president Joao Bernardo Vieira.",1,,CL,0,11.8667,-15.6,,
4040055,55,404,Guinea-Bissau,19-Jul-11,19-Jul-11,1,19,7,2011,19,7,2011,1,0,Opposition parties,,,Government,,1,0,4,0,0,Bissau,Bissau,1,1,1,3,10,,"Seven opposition parties march to protest rising food prices and to demand that PM Carlos Gomes Junior resign, accusing him of failing to shed light of the 2009 assassination of president Joao Bernardo Vieira.",1,,CL,0,11.8667,-15.6,,
4040056,56,404,Guinea-Bissau,5-Aug-11,5-Aug-11,1,5,8,2011,5,8,2011,1,0,Opposition parties,,,Government,,1,0,4,0,0,Bissau,Bissau,1,1,1,3,10,,"17 opposition parties march to protest rising food prices and to demand that PM Carlos Gomes Junior resign, accusing him of failing to shed light of the 2009 assassination of president Joao Bernardo Vieira.",1,,CL,0,11.8667,-15.6,,
4040057,57,404,Guinea-Bissau,26-Oct-11,29-Oct-11,4,26,10,2011,29,10,2011,6,0,Health workers,,,Government,,1,0,-99,0,0,Bissau,Bissau,1,1,1,2,,,Health workers strike to demand back pay from the government.,0,,CL,0,11.8667,-15.6,,
4040058,58,404,Guinea-Bissau,13-Dec-11,13-Dec-11,1,13,12,2011,13,12,2011,6,0,Taxi drivers union,,,Police,,1,0,4,0,0,Nationwide,Nationwide,1,7,7,10,,,Taxi drivers strike to protest police extortion and the level of bureaucracy imposed by authorities.,0,,CL,0,12.0758,-14.6407,,
4040059,59,404,Guinea-Bissau,26-Dec-11,27-Dec-11,2,26,12,2011,27,12,2011,10,0,Soldiers,,,President Malam Bacai Sanha,,1,0,-99,2,0,Bissau,Bissau,1,1,1,2,,,Soldiers mutiny and attempt a coup to demand a pay increase.,1,,CL,0,11.8667,-15.6,,
4040060,60,404,Guinea-Bissau,20-Feb-12,21-Feb-12,2,20,2,2012,21,2,2012,2,10,Youth Activits,Police,Army,National Elections Commission,,1,0,3,0,1,Bissau,Bissau,1,1,1,1,,,"Youth Activists staged a protest outside the National Elections Commission building, demanding names be added to the presidential candidates list.  Police attempting to break up the protest accidentally fired tear gas on military personel also at the scene, leading to the army attacking police, beating and arresting four police officers.",AFP,,MW,0,11.8667,-15.6,,
4040061,61,404,Guinea-Bissau,18-Mar-12,18-Mar-12,1,18,3,2012,18,3,2012,10,0,Military,,,Colonel Samba Diallo,,1,0,1,1,0,Bissau,Bissau,1,1,1,14,,,Men in military uniforms shot and killed ex-military intelligence deputy chief Colonel Samba Diallo.  Diallo was alledgedly involved in 2009 bombing that killed the country's then army chief.  The military has denied any involvement in the assassination.,AFP,,MW,0,11.8667,-15.6,,
4040062,62,404,Guinea-Bissau,12-Apr-12,13-Apr-12,2,12,4,2012,13,4,2012,10,0,Military,,,Ruling Party HQ,Carlos Gomes Jr,1,0,-99,0,0,Bissau,Bissau,1,1,1,1,9,,The military attacked the headquarters of the ruling party as well as the home of outgoing PM and presidential cadidate Carlos Gomes Jr.  The military then sealed off the capital's downtown area and captured both the PM and interim president as well as other politicians.  The army claimed it acted to protest alledged secret military deals with Angola.,AFP,,MW,1,11.8667,-15.6,,
4040063,63,404,Guinea-Bissau,15-Apr-12,15-Apr-12,1,15,4,2012,15,4,2012,2,0,Protesters,,,Junta,,0,0,2,0,1,Bissau,Bissau,1,1,1,9,,,Soldiers violently disbanded a group of 30 protesters attempting to hold a peaceful demonstration outside the national assembly building.,AFP,,MW,0,11.8667,-15.6,,
4040064,64,404,Guinea-Bissau,16-Apr-12,28-May-12,43,16,4,2012,28,5,2012,5,0,Guinea Bissau National Workers' Union,,,Military Coup,,0,0,4,0,0,Nationwide,Nationwide,1,7,7,9,,,"Guinea-Bissau's main labor union, consisting mostly of public sector workers, called a general strike to protest the April military coup.",AFP,,MW,0,12.0758,-14.6407,,
4040065,65,404,Guinea-Bissau,21-Oct-12,21-Oct-12,1,21,10,2012,21,10,2012,8,0,Pansau N'Tchama,Gunmen,,Red Beret Barracks,,1,0,-99,7,2,Bissau,Bissau,1,1,1,9,,,"Gunmen lead by Captain Pansau N'Tchama attacked an army barracks early in the morning.  Soldiers repelled the assault, killing at least six attackers.  One army sentry was also believed to have been killed, but the military refused to confirm red beret casualties.",Both,,MW,1,11.8667,-15.6,,
4040066,66,404,Guinea-Bissau,8-Oct-13,8-Oct-13,1,8,10,2013,8,10,2013,4,0,Mob,,,Suspected kidnappers,,0,0,3,3,1,Bissau,Bissau,1,1,1,9,,,Three Nigerians accused of kidnapping a child were lynched to death by a mob of several hundred armed with stones and bottles and police fired tear gas and shots in the air,AFP,,BS,0,11.8667,-15.6,,
4200001,1,420,Gambia,22-Jul-94,22-Jul-94,1,22,7,1994,22,7,1994,10,0,Military (Provisional Council of the Armed Forces),,,President Sir Dawda Jawara,,1,0,-99,0,0,Banjul,Banjul,1,1,1,2,8,,Military coup against president over wages paid for peacekeeping effort in Liberia.,1,,IS,0,13.4531,-16.577499,,
4200002,2,420,Gambia,11-Nov-94,11-Nov-94,1,11,11,1994,11,11,1994,10,0,Military,,,Junta led by Lt. Yayah Jammeh,,1,0,-99,-88,0,Banjul,Banjul,1,1,1,14,,,Failed military coup against ruling junta.,0,,IS,0,13.4531,-16.577499,,
4200003,3,420,Gambia,10-Apr-00,11-Apr-00,2,10,4,2000,11,4,2000,1,3,Gambia Students Union,,,Police Forces,,1,0,4,12,2,"Banjul, Janjanbureh, others",Banjul,1,7,8,10,,,"Students protest against police abuse, leading to riots.",1,,IS,0,13.4531,-16.577499,,
4200003,3,420,Gambia,10-Apr-00,11-Apr-00,2,10,4,2000,11,4,2000,1,3,Gambia Students Union,,,Police Forces,,1,0,4,12,2,"Banjul, Janjanbureh, others",Janjanbureh,2,7,8,10,,,"Students protest against police abuse, leading to riots.",1,,IS,0,13.5341,-14.7662,,
4200004,4,420,Gambia,14-Oct-01,17-Oct-01,4,14,10,2001,17,10,2001,3,0,Alliance for Patriotic Reorientation and Reconstruction Party (ruling party),,,United Democratic Party supporters (opposition),,1,0,-99,2,2,Banjul,Banjul,1,1,1,1,,,"Supporters of rival parties clash in the streets, one killed by soldiers",1,,IS,0,13.4531,-16.577499,,
4200005,5,420,Gambia,29-Jul-02,31-Jul-02,3,29,7,2002,31,7,2002,6,0,Gambia Bar Association,,,Government,,1,0,-99,0,0,Nationwide,Nationwide,1,7,7,13,,,Lawyers boycott courts after firing of a justice,0,,IS,0,13.4576,-15.2975,,
4200006,6,420,Gambia,8-Jun-03,8-Jun-03,1,8,6,2003,8,6,2003,4,0,Gambian football fans,,,Senegalese immigrants,,0,0,-99,0,0,Banjul,Banjul,1,1,1,13,,,"Riot in Senegal after football match, Gambians riot against Senegalese in their country",1,,IS,0,13.4531,-16.577499,,
4200007,7,420,Gambia,7-Oct-03,7-Oct-03,1,7,10,2003,7,10,2003,7,0,Police,,,Opposition leader Lamin Waa Juwara,,0,0,1,0,0,Unknown,Unknown,1,-99,-99,11,13,,Opposition leader arrested after calling for protests over prices,0,,IS,0,13.4576,-15.7975,,
4200008,8,420,Gambia,16-Jan-04,16-Jan-04,1,16,1,2004,16,1,2004,1,0,Gambia Bar Association,,,Government,,1,0,-99,0,0,Banjul,Banjul,1,1,1,10,,,Lawyers protest over government meddling in judicial affairs,0,,IS,0,13.4531,-16.577499,,
4200009,9,420,Gambia,14-May-04,14-May-04,1,14,5,2004,14,5,2004,6,0,Gambian independent media,,,Government,,1,0,-99,0,0,Nationwide,Nationwide,1,7,7,10,,,Radio and newspapers issue a blackout after government imposes a registration requirement,0,,IS,0,13.4576,-15.2975,,
4200010,10,420,Gambia,31-Aug-04,31-Aug-04,1,31,8,2004,31,8,2004,2,0,Liberian refugees,,,United Nations office,,0,0,2,0,1,Banjul,Banjul,1,1,1,8,6,,Liberians in Gambia protest the UN arrest of a spiritual leader,0,,IS,0,13.4531,-16.577499,,
4200011,11,420,Gambia,10-May-07,10-May-07,1,10,5,2007,10,5,2007,2,0,Gambian citizens,,,Police Forces,,1,0,3,0,1,Serrekunda,Serrekunda,1,2,2,10,,,Protests over killing of a man accused of drug dealing by police,0,,IS,0,13.4333,-16.6667,,
4200012,12,420,Gambia,16-Aug-12,16-Aug-12,1,16,8,2012,16,8,2012,1,0,Gambia Press Union,Gambia Moral Congress,,National Intelligence Agency,,1,0,-99,0,0,Banjul,Banjul,1,1,1,10,,,"The Gambia Press Union and opposition party the Gambia Moral Congress, protested the shutting down of Terenga FM, a community radio station, by the National Intelligence Agency.",AFP,,MW,0,13.4531,-16.577499,,
4200013,13,420,Gambia,7-Jan-13,10-Jan-13,4,7,1,2013,10,1,2013,7,0,Security officials,,,Journalist,,0,0,-99,0,0,Banjul,Banjul,1,1,1,11,,,A Gambian journalist who contributes to The Associated Press was arrested and his house was searched and released 3 days later,AP,Coded as an etype 7 because no reason was given for the arrest and the arrest seems politically driven,BS,0,13.4531,-16.577499,,
4200014,14,420,Gambia,8-Mar-13,8-Mar-13,1,8,3,2013,8,3,2013,7,0,Security officials,,,Journalist,,0,0,-99,0,0,Banjul,Banjul,1,1,1,11,,,"Baboucarr Ceesay, vice president of the Gambia Press Union, was arrested",AFP,Coded as an etype 7 because no reason was given for arrest and the arrest seems politically driven,BS,0,13.4531,-16.577499,,
-4320001,1,432,Mali,21-Jul-90,31-Dec-90,164,21,7,1990,31,12,1990,-9,0,MPA Rebels,,,Government,,1,0,-99,-77,2,Azawad,Azawad,1,6,6,13,,,,,UPPSALA CONFLICT ID #177,IS,0,17.184999,-3.9988301,,
4320002,2,432,Mali,22-Mar-91,26-Mar-91,5,22,3,1991,26,3,1991,4,0,Citizens,,,Government,,1,0,5,110,2,Bamako,Bamako,1,1,1,10,,,Soldiers fire on citizens during violent anti-government riots,1,"Riots continued for approximately a day after the president was arrested, during which time several soldiers were also killed.",ES,0,12.65,-8,,
4320003,3,432,Mali,23-Mar-91,23-Mar-91,1,23,3,1991,23,3,1991,2,0,Malian women,,,Government,,1,0,4,65,2,Bamako,Bamako,1,1,1,10,,,"Police open fire on women protesting police brutality, chase them into a building and set it on fire.",1,,ES,0,12.65,-8,,
4320004,4,432,Mali,25-Mar-91,25-Mar-91,1,25,3,1991,25,3,1991,5,0,Citizens,,,Government,,1,0,4,0,0,Nationwide,Nationwide,1,7,7,10,,,Malian workers strike demanding president's resignation,1,,ES,0,17.33,-3.31021,,
